Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Calories_Burned,Sets,Reps,Burns Calories (per 30 min),E,I,S,D,R
Incline Push-ups,HIIT,"Quadriceps, Calves, Glutes",Forearms,Lower,1,1412.4,5,23,339.44,0.6285623690268776,0.544044354140295,0.9166666666666666,0.3790849673202614,0.6667838079042676
Russian Twists,Strength,"Back, Biceps",Shoulders,Anterior,1,575.24,4,24,348.99,0.4844220196491704,0.13000140980637262,0.7583333333333333,0.058823529411764684,0.9148242318766967
Dragon Flags,Yoga,"Back, Biceps",Back,Lower Chest,2,827.25,4,24,341.36,0.5184134931729162,0.9739488758135517,0.35833333333333334,0.4967320261437908,0.5779524794528412
Lunges,Yoga,Core,Chest,Quads,3,1387.33,5,23,351.55,0.6476171779710601,0.30036303856119556,0.2777777777777778,0.8431372549019608,0.5516142806178744
Zottman Curls,Yoga,"Lower Back, Glutes",Shoulders,Posterior,3,760.38,5,21,369.47,0.5609543070950255,0.4524610332674158,0.25,0.4313725490196078,0.5690297059632042
Leg Press,Cardio,"Core, Obliques",Forearms,Anterior,1,536.31,4,21,353.71,0.4861708731814432,0.546443873039825,0.6583333333333333,0.07843137254901963,0.8030042070498603
Inverted Rows,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Lats,3,1123.25,5,19,365.04,0.6228582200953378,0.5926190853404273,0.22222222222222224,0.28758169934640526,0.311283061972212
Bicep Curls,Yoga,"Core, Shoulders, Legs",Shoulders,Wrist Extensors,2,999.13,5,22,344.49,0.5580697538099493,0.4714539208534858,0.4166666666666667,0.5882352941176469,0.7868604329947789
Pistol Squats,Yoga,"Lower Abs, Hip Flexors",Arms,Wrist Extensors,2,1193.4,4,16,361.73,0.6299757154273505,0.16461803251747,0.225,0.6797385620915032,0.7931467982538123
Resistance Band Pull-Aparts,Strength,Core,Back,Lateral,3,1320.89,4,20,365.46,0.6621740454059644,0.5845994459947049,0.18055555555555555,0.4771241830065359,0.5314893554996472
Plank,Cardio,"Quadriceps, Glutes",Arms,Middle,1,1371.66,5,20,358.64,0.6585798942965719,0.3738700245094955,0.7916666666666666,0.6143790849673202,0.8817162305436625
Bicep Curls,HIIT,"Back, Biceps",Shoulders,Lower,1,1518.0,5,19,368.97,0.7074943509249134,0.9097547195030289,0.75,0.4313725490196078,0.6451379679357949
Leg Raises,Cardio,"Chest, Triceps",Forearms,Upper,2,1162.66,3,10,130.5,0.16694129173522507,0.7965394353697396,0.08333333333333333,0.5424836601307189,0.5502842304428979
Deadlift,HIIT,"Quadriceps, Glutes",Arms,Lower,2,871.2,4,18,369.25,0.5820989954806587,0.8620844297430796,0.25833333333333336,0.15032679738562085,0.46773912991941247
Scissors Kicks,Cardio,"Back, Core, Shoulders",Chest,Lats,3,1420.8,5,22,328.66,0.6088903511272856,0.26560329287260287,0.2638888888888889,0.6470588235294117,0.4994605047574524
Frog Jumps,Yoga,"Chest, Triceps",Legs,Upper,1,739.87,5,15,339.59,0.4978997549533519,0.74759206071405,0.5833333333333334,0.4117647058823529,0.854838635430343
Frog Jumps,Strength,"Legs, Shoulders, Core",Legs,Posterior,1,2117.7,5,15,334.84,0.7568102983765554,0.7765117079833231,0.5833333333333334,0.8627450980392157,0.5845974781435335
Bicycle Crunches,Strength,"Core, Shoulders, Legs",Back,Anterior,1,1210.61,5,25,362.36,0.6345722067416047,0.8370415882107866,1.0,0.4117647058823529,0.8412487915503599
Face Pulls,Yoga,"Glutes, Hamstrings, Core",Forearms,Lower Chest,1,1332.77,5,23,360.55,0.6547822990462802,0.24262842435865753,0.9166666666666666,0.7973856209150325,0.8197600569056631
Decline Push-ups,Strength,"Core, Obliques",Arms,Wrist Extensors,1,1119.72,5,23,360.27,0.6127424690529271,0.2843739864545606,0.9166666666666666,0.4183006535947712,0.846137243892071
Wall Angels,Cardio,"Shoulders, Triceps",Abs,Triceps,1,1083.9,5,16,345.75,0.5770671925491556,0.5919277538047127,0.625,0.4183006535947712,0.7149620359555318
Inverted Rows,Cardio,"Core, Shoulders, Hips",Arms,Lower Chest,3,1321.78,5,23,330.32,0.5928897298231252,0.26411346401883506,0.2777777777777778,0.5751633986928104,0.5123721411571899
Deadlifts,HIIT,"Back, Hamstrings, Glutes",Back,Lower Chest,2,2572.02,5,15,336.67,0.8488954055150815,0.7707998755847619,0.2708333333333333,0.8562091503267972,0.5898214543102804
Deadlifts,HIIT,"Biceps, Forearms",Shoulders,Lats,1,1730.64,5,23,362.55,0.7362111427358846,0.2878157718164285,0.9166666666666666,0.5359477124183007,0.7196785062495941
Face Pulls,Cardio,"Chest, Triceps, Shoulders",Forearms,Grip Strength,1,634.18,5,19,345.31,0.48862529515005226,0.2993544740379009,0.75,0.15032679738562085,0.5363647534437456
Bicep Curls,Cardio,"Shoulders, Upper Back",Forearms,Quads,3,1986.4,4,21,370.74,0.8022026048802888,0.5909469244828786,0.19166666666666668,0.9281045751633985,0.627861525021187
Box Jumps,Cardio,"Upper Chest, Triceps",Back,Wrist Flexors,1,1360.93,4,21,333.91,0.6076092378412699,0.2425085757866587,0.6583333333333333,0.6078431372549018,0.527046037218704
Mountain Climbers,Yoga,"Quadriceps, Glutes",Abs,Middle,3,1300.6,5,17,337.69,0.603332952853924,0.558032456743496,0.19444444444444445,0.7712418300653592,0.6632737388799103
Decline Push-ups,Yoga,Full Body,Back,Wrist Flexors,2,857.51,5,24,354.92,0.5511085596878212,0.3592597265838211,0.4583333333333333,0.4575163398692809,0.8621787649431711
Deadlifts,Cardio,"Lower Chest, Triceps",Shoulders,Upper,2,1132.1,4,20,362.21,0.6189877757827862,0.8538747330168217,0.2916666666666667,0.5228758169934641,0.6901945855822953
Frog Jumps,Yoga,"Core, Lower Back",Arms,Lateral,2,586.87,5,22,370.03,0.5282742862766563,0.30864133422099294,0.4166666666666667,0.261437908496732,0.5815258681461433
Push Ups,Cardio,"Lower Chest, Triceps",Forearms,Wrist Extensors,2,1233.92,4,16,360.36,0.6351580765515779,0.5802754936412361,0.225,0.5163398692810457,0.6360646893025197
Bench Press,Yoga,"Upper Chest, Triceps",Abs,Wrist Flexors,3,820.8,5,15,353.0,0.5401651003481664,0.51567892014177,0.16666666666666666,0.4248366013071894,0.5499194075492688
Lateral Raises,Cardio,"Rear Deltoids, Upper Back",Back,Anterior,2,1030.54,5,19,347.99,0.5711041885408611,0.4188342860919383,0.3541666666666667,0.4444444444444443,0.6181589654758416
Turkish Get-ups,Yoga,"Quadriceps, Hamstrings, Glutes",Back,Triceps,2,1327.02,4,22,360.3,0.6531684750440451,0.31210508194135705,0.325,0.7908496732026142,0.6326952843172813
Incline Push-ups,Cardio,"Full Body, Core, Shoulders",Legs,Middle,2,1064.71,5,21,340.8,0.5635462442450911,0.391332523086774,0.3958333333333333,0.4052287581699347,0.6996383218676729
Bicep Curls,HIIT,"Lower Chest, Triceps",Legs,Anterior,1,1676.4,4,17,342.38,0.6857812390154838,0.02991957523553898,0.525,0.5098039215686274,0.7343240246298322
Superman,Yoga,"Legs, Core",Chest,Lower,1,828.69,4,20,364.45,0.564333525488891,0.350775058404376,0.625,0.4313725490196078,0.6928998360015876
Dragon Flags,Yoga,"Quadriceps, Hamstrings, Glutes",Legs,Lower,2,805.73,4,16,332.2,0.4961173594450139,0.2681149203496994,0.225,0.4117647058823529,0.6121699409012291
Squats,Strength,Calves,Chest,Quads,2,1479.6,5,17,357.86,0.6780568773165425,0.1111740752070418,0.3125,0.5751633986928104,0.5748627821050376
Push Ups,Yoga,"Lower Chest, Triceps",Legs,Lower Chest,3,574.72,4,23,360.16,0.5063993516087208,0.11365809375150365,0.2138888888888889,0.24836601307189543,0.5280299447294259
Incline Push-ups,Cardio,"Triceps, Chest",Back,Posterior,2,1298.16,5,25,355.37,0.6378040578756238,0.695524691428606,0.4791666666666667,0.5620915032679737,0.7526749237114149
Calf Raises,HIIT,Shoulders,Legs,Lower Chest,3,931.7,5,24,345.52,0.5469752719403341,0.9717417410858086,0.2916666666666667,0.18300653594771243,0.0494166431228138
Face Pulls,HIIT,Quadriceps,Legs,Wrist Extensors,3,1246.3,4,19,349.41,0.6159250467855485,0.466303812544392,0.16944444444444443,0.35294117647058826,0.47090849037671045
Dips,Yoga,"Back, Biceps",Forearms,Anterior,1,799.2,5,19,329.18,0.488876475191086,0.43790823695822384,0.75,0.4052287581699347,0.5940713077984601
Turkish Get-ups,Cardio,"Upper Back, Rear Deltoids",Arms,Lats,3,687.02,5,24,345.59,0.49946806628551255,0.962996872350972,0.2916666666666667,0.18954248366013077,0.057225255058572566
Windshield Wipers,Strength,"Chest, Triceps",Forearms,Wrist Flexors,2,1368.68,5,21,347.18,0.6353478080410209,0.7757484673307349,0.3958333333333333,0.5816993464052287,0.4740494738999135
Scissors Kicks,HIIT,"Chest, Triceps, Shoulders",Back,Triceps,2,1063.83,4,17,365.83,0.6128491105038893,0.3744795741445754,0.24166666666666667,0.25490196078431365,0.8516637091244155
Incline Push-ups,HIIT,Full Core,Arms,Wrist Flexors,1,1456.84,5,18,338.03,0.6344289923440298,0.65173342057661,0.7083333333333334,0.3986928104575163,0.929625902445826
Deadlift,HIIT,"Upper Chest, Triceps",Back,Grip Strength,3,2332.69,3,12,180.85,0.4942982637438014,0.29611581353799754,0.058333333333333334,0.7450980392156863,0.644239755596898
Bicycle Crunches,Yoga,"Lower Chest, Triceps",Shoulders,Posterior,2,739.87,4,23,335.32,0.48945968537713436,0.8515791892047266,0.3416666666666667,0.4117647058823529,0.40900085014469734
Renegade Rows,HIIT,"Chest, Triceps, Shoulders",Chest,Posterior,1,2218.2,5,18,333.87,0.7744629662122288,0.585387030583468,0.7083333333333334,0.6928104575163399,0.7183326362256581
Decline Push-ups,Yoga,"Core, Obliques",Legs,Lower,3,1013.51,4,16,352.94,0.577572159678501,0.2586651362071358,0.1361111111111111,0.6013071895424835,0.7873893104329983
Tricep Dips,Yoga,Core,Legs,Wrist Flexors,3,1028.74,4,21,349.86,0.574449918228119,0.5043552785160804,0.19166666666666668,0.6143790849673202,0.5803434988641377
Step-ups,HIIT,"Chest, Triceps, Shoulders",Arms,Triceps,1,1706.1,4,25,329.68,0.6664618193528327,0.20052866935791958,0.7916666666666666,0.6013071895424835,0.6376160976326308
Lunges,Strength,"Obliques, Core",Forearms,Lats,1,1403.24,4,16,356.35,0.6602029353005724,0.23913194979305213,0.49166666666666664,0.6078431372549018,0.7981645792583554
Lateral Raises,Yoga,"Legs, Shoulders, Core",Chest,Anterior,2,561.0,4,24,350.12,0.4838826755527118,0.5983579909903919,0.35833333333333334,0.23529411764705882,0.6176819332433968
Deadlift,Cardio,"Lower Chest, Triceps",Legs,Wrist Flexors,3,846.34,5,20,369.51,0.5777720213714058,0.442948817745987,0.23611111111111113,0.30718954248366004,0.1490152498125512
Push-ups,Yoga,"Core, Lower Back",Forearms,Lower Chest,1,742.22,4,24,334.62,0.488533673607666,0.35557675141380185,0.7583333333333333,0.35294117647058826,0.66792400757463
Push Ups,Strength,"Shoulders, Triceps",Legs,Lower,3,1097.9,4,20,363.34,0.6145616999292367,0.9202284808248578,0.18055555555555555,0.4052287581699347,0.30127507972516443
Jumping Jacks,Cardio,"Quadriceps, Glutes",Legs,Middle,1,1956.7,4,22,373.92,0.8027048202418647,0.38611198251536916,0.6916666666666667,0.9084967320261438,0.7963427295037597
Jumping Jacks,Strength,"Biceps, Forearms",Chest,Wrist Extensors,3,801.9,5,22,336.15,0.503179117219339,0.1734813067465438,0.2638888888888889,0.20915032679738563,0.6175437489158396
Burpees,Strength,"Core, Shoulders, Hips",Abs,Lats,2,2084.2,5,16,364.23,0.8083791645270512,0.35706936282833984,0.2916666666666667,0.8431372549019608,0.7113034311308473
Deadlift,HIIT,Calves,Arms,Middle,1,2459.6,5,15,343.35,0.8402079726698541,0.5446880092487115,0.5833333333333334,0.803921568627451,0.9099957994557516
Bird Dogs,Yoga,Core,Shoulders,Middle,2,978.38,5,17,356.72,0.5782029708975025,0.29205238895121377,0.3125,0.5686274509803922,0.7205697639945504
Mountain Climbers,HIIT,"Legs, Core",Legs,Lower,3,1331.0,4,15,335.66,0.6052401323743186,0.9319631797404987,0.125,0.3986928104575163,0.4884315380908566
Thrusters,Cardio,Quadriceps,Forearms,Wrist Flexors,1,606.65,4,20,336.44,0.4657320710783744,0.7820635620746964,0.625,0.130718954248366,0.6036988091228643
Squats,Cardio,Triceps,Abs,Quads,3,582.38,4,15,342.2,0.47239126933015285,0.2596471710128369,0.125,0.11111111111111113,0.4295100903066489
Push Ups,HIIT,"Lower Back, Glutes",Back,Grip Strength,2,1955.23,4,25,364.69,0.7841745818183161,0.2448515343513426,0.375,0.6470588235294117,0.6991927202168917
Plyometric Push-ups,Yoga,"Back, Biceps",Back,Posterior,2,476.06,5,24,350.22,0.46754030542972747,0.21723930557196586,0.4583333333333333,0.15032679738562085,0.5594679008587466
Bear Crawls,HIIT,"Quadriceps, Glutes",Legs,Upper,3,1938.78,4,21,330.92,0.7142216547169294,0.35099977724403797,0.19166666666666668,0.6405228758169934,0.8196384506336177
Plyo Squats,Strength,"Core, Shoulders, Legs",Forearms,Lats,3,1360.8,4,17,343.04,0.6256302548918784,0.6850102385532251,0.14722222222222223,0.503267973856209,0.7150439167349528
Thrusters,Yoga,"Chest, Triceps",Forearms,Anterior,1,620.4,4,18,331.8,0.459238143627789,0.5367115595146525,0.5583333333333333,0.2941176470588235,0.8519148864317717
Scissors Kicks,Cardio,"Chest, Triceps",Abs,Lats,1,996.21,5,19,363.35,0.5947797748992105,0.1588847153925739,0.75,0.4183006535947712,0.5230983818503547
Bird Dogs,Cardio,"Upper Chest, Triceps",Legs,Quads,2,1027.2,5,23,352.42,0.5792101286781696,0.4728214371418954,0.4375,0.3790849673202614,0.8335603857827723
Lateral Raises,Cardio,Core,Abs,Posterior,2,1197.0,5,21,349.15,0.6058111377732649,0.6585860825285357,0.3958333333333333,0.4967320261437908,0.7429898995853017
Box Jumps,Strength,Full Body,Arms,Wrist Extensors,2,743.85,5,21,366.64,0.5521417158889386,0.6067235737453215,0.3958333333333333,0.16993464052287582,0.46591717214937167
Mountain Climbers,HIIT,Quadriceps,Shoulders,Lats,1,2735.5,4,21,370.23,0.9470638168790311,0.5833240690853865,0.6583333333333333,0.9281045751633985,0.6286671786549247
Zottman Curls,Cardio,Shoulders,Abs,Lateral,3,1172.18,4,15,338.62,0.5801644700996639,0.45709066904400275,0.125,0.4771241830065359,0.5094949299924236
Superman,Strength,Core,Arms,Wrist Flexors,1,951.26,4,15,366.03,0.591324119606562,0.3444368350234239,0.4583333333333333,0.30718954248366004,0.9207183893836471
Inverted Rows,Strength,"Core, Shoulders, Hips",Shoulders,Lats,1,533.14,5,21,357.38,0.4928077029567993,0.3262346447932497,0.8333333333333334,0.032679738562091575,0.7091497884758448
Scissors Kicks,Strength,Lower Abs,Arms,Upper,1,1405.17,4,19,360.59,0.6689595282211498,0.61323792268589,0.5916666666666667,0.5294117647058822,0.7524616923956292
Face Pulls,HIIT,"Back, Hamstrings, Glutes",Forearms,Lower,2,1688.19,4,15,350.69,0.7045025808479424,0.5774139854117192,0.20833333333333334,0.5163398692810457,0.6051143041825529
Tricep Extensions,Yoga,"Back, Biceps",Arms,Lower Chest,2,845.57,4,22,367.27,0.5731945048380503,0.5554520085650858,0.325,0.5163398692810457,0.5354877458158456
Face Pulls,Strength,"Core, Lower Back",Forearms,Lats,3,1245.13,4,24,351.12,0.6190771983434931,0.6162421130245305,0.225,0.503267973856209,0.4133126301222283
Zottman Curls,HIIT,"Back, Core, Shoulders",Abs,Upper,2,1806.89,4,17,349.05,0.7243749425598212,0.6509559610043828,0.24166666666666667,0.5751633986928104,0.797646529156256
Prone Cobras,Cardio,"Lower Back, Glutes",Chest,Triceps,2,907.22,4,16,363.03,0.576818593536503,0.20598494250271768,0.225,0.35294117647058826,0.7618545879548028
Windshield Wipers,Yoga,"Glutes, Hamstrings, Core",Back,Posterior,2,640.2,4,16,368.35,0.5353383428744044,0.1933751017864762,0.225,0.31372549019607837,0.7538313199985471
Thrusters,Yoga,"Triceps, Chest",Forearms,Wrist Extensors,2,793.44,4,16,336.64,0.5025002674958139,0.519672245482554,0.225,0.4640522875816993,0.4783020731057255
Lunges,Strength,Shoulders,Abs,Anterior,3,1230.17,4,15,361.19,0.6360684294868965,0.5971270487059703,0.125,0.4248366013071894,0.4799959397095733
Prone Cobras,Strength,"Upper Back, Rear Deltoids",Arms,Triceps,2,1113.33,4,23,359.83,0.6106284669379485,0.29028940141825726,0.3416666666666667,0.35294117647058826,0.7545872190873764
Renegade Rows,Strength,"Rear Deltoids, Upper Back",Chest,Triceps,3,1307.99,4,24,344.86,0.6189441794275593,0.5336807153834178,0.225,0.5424836601307189,0.5406109656760372
Zottman Curls,Yoga,Full Core,Shoulders,Quads,3,765.6,4,21,357.56,0.5384295056762346,0.29815670221896723,0.19166666666666668,0.43790849673202603,0.37278501684369547
Superman,Cardio,"Triceps, Chest",Shoulders,Upper,2,1400.43,5,19,351.26,0.6495948759379708,0.27430157211440054,0.3541666666666667,0.633986928104575,0.6192449403471488
Renegade Rows,Yoga,Triceps,Back,Upper,2,1460.84,4,17,340.76,0.6406040065606935,0.2080284674587699,0.24166666666666667,0.9019607843137255,0.6731987044019496
Tricep Extensions,Cardio,"Core, Shoulders, Hips",Legs,Middle,2,1714.68,5,15,336.84,0.6822850039430853,0.3185745434902245,0.2708333333333333,0.7581699346405227,0.718937646902291
Tricep Extensions,Strength,"Full Body, Core, Shoulders",Chest,Wrist Extensors,1,1101.6,5,15,362.63,0.6138788023427753,0.17841066930849955,0.5833333333333334,0.3464052287581699,0.5524993325881343
Tricep Dips,Yoga,"Back, Hamstrings, Glutes",Shoulders,Wrist Extensors,1,581.33,5,20,363.04,0.5133790903531807,0.22221365298688708,0.7916666666666666,0.25490196078431365,0.7243560487960403
Kettlebell Swings,Yoga,"Shoulders, Triceps",Chest,Middle,2,914.4,5,15,351.62,0.5556637537012081,0.5675844139233741,0.2708333333333333,0.5098039215686274,0.8417615429100065
Pistol Squats,Yoga,"Chest, Triceps, Shoulders",Legs,Wrist Extensors,3,586.87,4,25,336.31,0.4616234323867133,0.5014223696115756,0.23611111111111113,0.261437908496732,0.4852290539578554
Push-ups,Yoga,"Core, Shoulders, Legs",Chest,Wrist Flexors,2,1304.6,5,17,337.62,0.6039734952173301,0.5648985396244387,0.3125,0.7712418300653592,0.6661481212655909
Bicycle Crunches,Strength,Full Body,Shoulders,Anterior,2,1992.06,4,16,351.87,0.7660063671695434,0.3710825018766743,0.225,0.7908496732026142,0.7547070226020653
Deadlifts,Strength,"Back, Biceps",Forearms,Quads,1,861.3,4,18,357.41,0.5567682981343909,0.32387873680747964,0.5583333333333333,0.24836601307189543,0.6635577845157882
Reverse Lunges,Strength,"Quadriceps, Glutes",Forearms,Middle,1,1544.4,5,21,373.14,0.7208775282463546,0.7760627070063888,0.8333333333333334,0.6143790849673202,0.5962444077157312
Jumping Jacks,Strength,"Biceps, Forearms",Shoulders,Wrist Extensors,2,1227.6,3,12,199.82,0.31660451107849646,0.6680558119737845,0.10833333333333334,0.4901960784313726,0.5124169142440556
Dips,Yoga,"Shoulders, Triceps",Forearms,Wrist Flexors,3,977.57,5,20,356.53,0.5776696893579701,0.6944304287217097,0.23611111111111113,0.5686274509803922,0.5196956660339375
Dead Bugs,Strength,"Triceps, Chest",Abs,Wrist Extensors,3,594.54,5,17,348.21,0.4866384864893543,0.6612274822491419,0.19444444444444445,0.07189542483660132,0.6879326858271299
Bear Crawls,Yoga,"Upper Back, Rear Deltoids",Legs,Lower,2,809.59,5,16,364.37,0.5604561303589077,0.23750899472722242,0.2916666666666667,0.4836601307189542,0.6499421358169865
Leg Press,Cardio,"Core, Shoulders, Legs",Abs,Lats,3,2050.38,4,25,367.84,0.8089290453529905,0.2724904244118266,0.23611111111111113,0.9673202614379085,0.9029600349548679
Box Jumps,Strength,"Core, Shoulders, Hips",Abs,Posterior,3,1607.86,4,23,375.12,0.7371485049796819,0.25971245007544375,0.2138888888888889,0.6535947712418301,0.5675212693501481
Flutter Kicks,Cardio,Shoulders,Forearms,Lats,3,1292.76,4,17,332.41,0.5913698680632671,0.23922690294598714,0.14722222222222223,0.5620915032679737,0.8459912692280314
Deadlifts,HIIT,"Upper Chest, Triceps",Legs,Lateral,2,1402.7,5,17,344.2,0.6360821285900513,0.6588122154171415,0.3125,0.37254901960784315,0.6421412690353769
Lunges,HIIT,"Shoulders, Upper Back",Back,Anterior,1,1582.22,4,20,330.3,0.6435646477218355,0.824002827511341,0.625,0.5359477124183007,0.8269911719037947
Windshield Wipers,Yoga,Quadriceps,Legs,Posterior,2,904.2,4,16,337.27,0.5253133798459327,0.4595803008925508,0.225,0.5751633986928104,0.4780364133112145
Bench Press,Strength,"Quadriceps, Hamstrings, Glutes",Arms,Quads,3,1469.2,4,25,356.79,0.6739167676144441,0.6685483199777983,0.23611111111111113,0.6470588235294117,0.5070567937163
Leg Press,Cardio,"Glutes, Hamstrings",Forearms,Lower,1,580.8,5,18,333.89,0.45565808036542454,0.1900510210403144,0.7083333333333334,0.11111111111111113,0.8714076298921342
Superman,Cardio,"Quadriceps, Hamstrings, Glutes",Legs,Lateral,2,1419.62,5,24,333.5,0.6182273043179365,0.3903558760914591,0.4583333333333333,0.6470588235294117,0.7787458691849374
Kettlebell Swings,Cardio,"Biceps, Forearms",Forearms,Triceps,1,1955.2,5,24,349.39,0.7539268045532471,0.7283209841988416,0.9583333333333334,0.9084967320261438,0.7916633898839591
Flutter Kicks,Strength,"Lower Back, Glutes",Forearms,Upper,2,1277.1,4,20,376.67,0.6758046455011705,0.3571002699774496,0.2916666666666667,0.5228758169934641,0.7319767943357254
Bicycle Crunches,Yoga,"Shoulders, Upper Back",Shoulders,Wrist Flexors,2,633.6,4,18,332.81,0.4638048904162768,0.53207758003337,0.25833333333333336,0.30718954248366004,0.7519705491509394
Resistance Band Pull-Aparts,Cardio,"Legs, Core",Shoulders,Triceps,3,644.15,4,20,336.25,0.4726587441287297,0.4306373225685564,0.18055555555555555,0.15686274509803919,0.5368526799438601
Jumping Jacks,Strength,"Upper Chest, Triceps",Shoulders,Anterior,2,1393.2,4,15,361.64,0.6687040844681065,0.18689704014456962,0.20833333333333334,0.5228758169934641,0.5838757956130933
Bicep Curls,HIIT,"Full Body, Core, Shoulders",Shoulders,Lower Chest,3,2173.6,4,16,363.24,0.8238308413776434,0.16040053582012917,0.1361111111111111,0.6732026143790849,0.792465639484393
Plyometric Push-ups,Cardio,"Glutes, Hamstrings",Abs,Wrist Flexors,3,1164.77,5,21,344.59,0.5905218347737309,0.6213161521660255,0.25,0.5424836601307189,0.5387475967105759
Push-ups,Yoga,"Obliques, Core",Legs,Upper,1,878.4,4,24,363.43,0.5719972279017729,0.35764700766579266,0.7583333333333333,0.4771241830065359,0.8332039167168885
Plyo Squats,Cardio,"Back, Core, Shoulders",Shoulders,Lower,1,791.28,4,23,336.02,0.500854169053477,0.40707296365344714,0.725,0.2679738562091503,0.4773477869256473
Mountain Climbers,Strength,"Quadriceps, Glutes",Forearms,Lower,1,2279.74,4,17,350.54,0.8193962802075789,0.24236879702455497,0.525,0.9542483660130717,0.61400838039088
Dragon Flags,HIIT,Shoulders,Chest,Lower,1,1016.4,4,25,351.04,0.5743793834620581,0.3691983021208526,0.7916666666666666,0.2287581699346405,0.6462582386641247
Turkish Get-ups,HIIT,"Shoulders, Upper Back",Abs,Middle,1,1334.31,4,15,366.25,0.6663487805633389,0.16707785246645374,0.4583333333333333,0.33986928104575165,0.44827069160975763
Flutter Kicks,Yoga,"Obliques, Core",Chest,Middle,2,1013.51,5,18,367.54,0.6064304771990576,0.4890579868111233,0.3333333333333333,0.6013071895424835,0.6253156023775533
Kettlebell Swings,Strength,"Upper Chest, Triceps",Back,Triceps,2,1188.99,5,16,358.94,0.6236022677088868,0.3362523014843336,0.2916666666666667,0.3986928104575163,0.7867355709015215
Face Pulls,Cardio,"Full Body, Core, Shoulders",Chest,Lateral,3,617.12,4,20,346.58,0.48781354721364145,0.39017076602969214,0.18055555555555555,0.13725490196078433,0.3363968889286284
Reverse Lunges,Cardio,"Legs, Core",Arms,Lower,1,1989.46,4,21,338.73,0.739527593697213,0.6261439329768396,0.6583333333333333,0.9281045751633985,0.6846945153818373
Push-ups,Cardio,"Legs, Shoulders, Core",Arms,Lower,1,608.3,5,20,332.31,0.4578900230607115,0.3646686347229912,0.7916666666666666,0.130718954248366,0.6136258410121193
Pull-ups,HIIT,"Full Body, Core, Shoulders",Forearms,Posterior,1,1884.45,3,10,270.24,0.5837022775188423,0.8522361377060546,0.20833333333333334,0.6143790849673202,0.6181851377288317
Calf Raises,Strength,Core,Abs,Wrist Flexors,2,751.72,4,24,334.62,0.4903835709870429,0.4551901957739986,0.35833333333333334,0.17647058823529413,0.7044816667168727
Wall Angels,Yoga,"Back, Core, Shoulders",Chest,Wrist Extensors,3,949.61,5,18,349.78,0.5588831189208726,0.748674950132222,0.20833333333333334,0.5424836601307189,0.762253420329276
Pull-ups,HIIT,"Glutes, Hamstrings",Shoulders,Anterior,1,1668.28,5,18,370.26,0.7393075904529368,0.6934181722254815,0.7083333333333334,0.5816993464052287,0.8273401115868367
Decline Push-ups,HIIT,"Quadriceps, Glutes",Abs,Anterior,1,1937.17,4,20,365.0,0.7812705746351398,0.517657529332962,0.625,0.6405228758169934,0.8227956114704686
Thrusters,Yoga,"Back, Biceps",Chest,Lower Chest,3,587.93,5,17,350.89,0.4906486275677914,0.6256753339511522,0.19444444444444445,0.261437908496732,0.6624521611859437
Push Ups,HIIT,Triceps,Forearms,Wrist Extensors,3,2241.65,5,20,346.43,0.8038553513047313,0.41223414646370277,0.23611111111111113,0.7058823529411765,0.6479441979144415
Leg Raises,Cardio,"Lower Chest, Triceps",Legs,Posterior,1,723.57,5,15,348.15,0.5116453915966651,0.5465416241778268,0.5833333333333334,0.21568627450980388,0.7448723494466124
Zottman Curls,HIIT,"Biceps, Forearms",Shoulders,Lower Chest,1,1811.41,5,20,358.22,0.7433804995797428,0.6936932754201381,0.7916666666666666,0.5751633986928104,0.6228350169204551
Dragon Flags,Strength,"Lower Back, Glutes",Abs,Lower Chest,3,1611.88,5,24,333.67,0.6560013542611037,0.39250616531445787,0.2916666666666667,0.6535947712418301,0.6801445409696913
Deadlifts,Yoga,"Core, Obliques",Legs,Upper,1,686.4,5,16,341.95,0.49215252273151855,0.4069025234510629,0.625,0.3594771241830066,0.754994893055604
Turkish Get-ups,Cardio,"Core, Obliques",Shoulders,Quads,3,1311.2,5,21,366.99,0.663311343627387,0.5253749293182705,0.25,0.6535947712418301,0.6588945363923011
Calf Raises,Yoga,"Back, Hamstrings, Glutes",Shoulders,Wrist Extensors,1,1284.03,4,15,335.95,0.5966670634348292,0.7109146438500482,0.4583333333333333,0.7581699346405227,0.8348066268289178
Russian Twists,Cardio,"Back, Core, Shoulders",Abs,Lower Chest,3,1039.34,3,12,164.39,0.20991455188583225,0.7021382105330549,0.058333333333333334,0.4509803921568627,0.5666696894710487
Incline Push-ups,Strength,"Core, Obliques",Arms,Grip Strength,1,1415.98,5,23,362.67,0.675175838660975,0.28263462688488916,0.9166666666666666,0.5359477124183007,0.7179263841172553
Inverted Rows,HIIT,"Chest, Triceps",Forearms,Grip Strength,1,1702.8,5,17,334.85,0.6760382303786708,0.4045193886706045,0.6666666666666666,0.5228758169934641,0.6836807087312287
Seated Rows,HIIT,"Back, Core, Shoulders",Abs,Triceps,1,1940.4,5,23,348.89,0.7500565606169931,0.2555025711839029,0.9166666666666666,0.6405228758169934,0.6737447482425563
