Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,E,I,S,D,R,E_scaled,I_scaled,S_scaled,D_scaled,R_scaled
Jumping Jacks,Strength,"Lower Chest, Triceps",Shoulders,Posterior,3,0.6018839338530447,0.20115855017856282,,0.35294117647058826,,-0.08520478957684616,-1.2870374995892648,,-0.6746195636396898,
Tricep Dips,HIIT,"Quadriceps, Hamstrings, Glutes",Legs,Lateral,2,0.6471920925500673,0.5181151812874827,,0.4313725490196078,,0.3014471582879237,0.2525731815489186,,-0.32283780354421254,
Rows,Strength,Calves,Back,Lateral,3,0.6875893148671071,0.6742885067183122,,0.6470588235294117,,0.6461900290291275,1.0111820773493887,,0.6445620367183504,
Frog Jumps,Cardio,Full Body,Arms,Wrist Flexors,1,0.6085516101083344,0.7163011631101199,,0.35294117647058826,,-0.02830399982992512,1.2152577399960796,,-0.6746195636396898,
Burpees,HIIT,"Legs, Core",Shoulders,Lower,3,0.708676254003243,0.2042082126678679,,0.5751633986928104,,0.8261423008928833,-1.272223823263979,,0.32209542329749613,
Dead Bugs,HIIT,Quadriceps,Abs,Upper,1,0.6679245544692224,0.44994034698809804,,0.4771241830065359,,0.47837438322059983,-0.07858475228237806,,-0.11763177682185066,
Pull-ups,Strength,"Triceps, Chest",Arms,Triceps,3,0.7690624363299119,0.4754924933272348,,0.8758169934640523,,1.34146748055546,0.0455343024037562,,1.67059217033016,
Face Pulls,Cardio,"Core, Shoulders, Legs",Legs,Upper,1,0.7284983344278759,0.6054215239048661,,0.830065359477124,,0.9953004884539267,0.6766620455507626,,1.4653861436077975,
Incline Push-ups,Strength,Quadriceps,Chest,Lower,3,0.6420484721776433,0.3644442229057434,,0.5816993464052287,,0.2575523964333585,-0.49388051490005525,,0.35141056997211917,
Frog Jumps,Yoga,"Quadriceps, Glutes",Abs,Posterior,1,0.44115956761973324,0.6147117841659262,,0.11111111111111113,,-1.456798583290745,0.7217893043761708,,-1.7592799906007455,
Zottman Curls,HIIT,"Legs, Shoulders, Core",Back,Posterior,1,0.595560988197555,0.4954731886978059,,0.20915032679738563,,-0.13916370832890865,0.1425901421931694,,-1.3195527904813986,
Kettlebell Swings,Strength,"Core, Lower Back",Back,Anterior,2,0.6450346598925949,0.5045987794085812,,0.5163398692810457,,0.2830360031364437,0.18691752187552405,,0.05825910322588796,
Kettlebell Swings,Strength,"Legs, Core",Forearms,Lats,2,0.7186115830867155,0.5805093850113136,,0.7777777777777778,,0.9109286716763553,0.5556518146042735,,1.2308649702108132,
Push Ups,Strength,"Shoulders, Triceps",Chest,Grip Strength,3,0.7872344277986155,0.6217247449664763,,0.9215686274509802,,1.4965440958940122,0.7558546252913846,,1.8757981970525213,
Jumping Jacks,Cardio,Calves,Arms,Lower Chest,3,0.7049391048072229,0.2563348706542242,,0.6535947712418301,,0.7942501194920668,-1.0190195942593736,,0.6738771833929739,
Box Jumps,HIIT,Calves,Forearms,Lower Chest,2,0.6302161177946811,0.35107178260359223,,0.30718954248366004,,0.15657714161023076,-0.5588368840097446,,-0.8798255903620522,
Pull-ups,Strength,"Shoulders, Triceps",Arms,Lats,3,0.6730482302025182,0.4046249703027592,,0.6405228758169934,,0.5220989409929395,-0.2987033146246584,,0.6152468900437273,
Pull-ups,HIIT,Core,Legs,Triceps,2,0.5360272519037463,0.808158959569654,,0.032679738562091575,,-0.6472142617755081,1.6614552026587746,,-2.111061750696223,
Russian Twists,Cardio,"Chest, Triceps, Shoulders",Abs,Posterior,1,0.5132889470382392,0.5604161093464984,,0.0980392156862745,,-0.841259001624295,0.45804911822158634,,-1.8179102839499919,
Leg Press,Cardio,"Upper Back, Rear Deltoids",Forearms,Quads,2,0.6074796437973484,0.4184732850184528,,0.3333333333333333,,-0.03745197392791826,-0.2314353947914298,,-0.7625650036635594,
Zottman Curls,HIIT,"Shoulders, Triceps",Chest,Grip Strength,1,0.7415436484447508,0.3385806986856859,,0.6013071895424835,,1.1066269298761366,-0.6195120815966133,,0.43935600999598823,
Bicep Curls,Strength,"Back, Biceps",Shoulders,Wrist Extensors,2,0.5081374669575098,0.10870275996046908,,0.11111111111111113,,-0.8852208368628453,-1.73613970532268,,-1.7592799906007455,
Russian Twists,HIIT,"Core, Shoulders, Legs",Abs,Triceps,2,0.6629599884470925,0.7480476101018259,,0.33986928104575165,,0.4360076400563951,1.3694654898248606,,-0.7332498569889361,
Lat Pulldowns,Cardio,"Triceps, Chest",Arms,Lower Chest,3,0.6139856755004819,0.5009351797467938,,0.6601307189542484,,0.018069369318630672,0.16912165765596832,,0.703192330067597,
Kettlebell Swings,Strength,"Triceps, Chest",Shoulders,Middle,3,0.4600606490694087,0.37095887500278324,,0.07843137254901963,,-1.2955000408331383,-0.46223571883628384,,-1.905855723973861,
Lat Pulldowns,Cardio,"Shoulders, Upper Back",Abs,Lats,1,0.6406958959129679,0.4075681936281159,,0.6013071895424835,,0.24600974578472953,-0.2844066644714799,,0.43935600999598823,
Lunges,HIIT,"Glutes, Hamstrings, Core",Forearms,Lateral,3,0.66767209742381,0.467394344672507,,0.5163398692810457,,0.47621995869380224,0.006197702558400089,,0.05825910322588796,
Lat Pulldowns,Cardio,"Core, Obliques",Forearms,Grip Strength,3,0.21321136597001375,0.7022055154473302,,0.4575163398692809,,-3.402068899162737,1.1467884051748944,,-0.20557721684572047,
Lat Pulldowns,Strength,"Glutes, Hamstrings, Core",Arms,Lower,3,0.7265076638854688,0.4159700866162629,,0.7124183006535948,,0.9783124521948126,-0.24359463242446505,,0.937713503464582,
Deadlifts,Yoga,"Quadriceps, Hamstrings, Glutes",Shoulders,Triceps,2,0.5457606925916024,0.5365599642356356,,0.4836601307189542,,-0.564150771454656,0.3421683565698599,,-0.08831663014722764,
Bicep Curls,Yoga,"Biceps, Forearms",Abs,Lower,2,0.462854105038985,0.35351502214721936,,0.27450980392156865,,-1.271661173331729,-0.5469688953679331,,-1.0264013237351672,
Thrusters,Cardio,"Back, Core, Shoulders",Shoulders,Lower,3,0.6235492866146864,0.5230947306852843,,0.6470588235294117,,0.09968356358893014,0.2767612460588423,,0.6445620367183504,
Calf Raises,Cardio,"Quadriceps, Hamstrings, Glutes",Forearms,Lower,2,0.601553847966249,0.36301794725940006,,0.5620915032679737,,-0.0880216851374381,-0.5008086211576046,,0.2634651299482496,
Step-ups,Cardio,"Quadriceps, Glutes",Legs,Lower Chest,1,0.7023103880989494,0.2604124868908774,,0.6535947712418301,,0.7718171082007605,-0.9992126525665324,,0.6738771833929739,
Bicycle Crunches,Cardio,"Triceps, Chest",Abs,Triceps,2,0.49574710915707,0.10031714926616599,,0.23529411764705882,,-0.9909579958217314,-1.776872646443508,,-1.2022922037829062,
Prone Cobras,Yoga,"Lower Chest, Triceps",Arms,Wrist Extensors,1,0.5252688774480546,0.21228604394044157,,0.22222222222222218,,-0.7390243586494106,-1.232985914707926,,-1.2609224971321524,
Bicycle Crunches,Yoga,Core,Chest,Triceps,3,0.605285848653808,0.40772574715398235,,0.7058823529411765,,-0.056173440212575115,-0.28364135127886336,,0.9083983567899591,
Burpees,Strength,Full Core,Legs,Lower,3,0.8217897084934185,0.7566503661357687,,0.9934640522875815,,1.7914328526630543,1.4112532102165911,,2.1982648104733755,
Squats,Strength,"Back, Hamstrings, Glutes",Shoulders,Wrist Extensors,1,0.658654917630257,0.5361164540987562,,0.43790849673202603,,0.3992689142971729,0.34001401469178166,,-0.2935226568695898,
Tricep Extensions,Yoga,"Glutes, Hamstrings",Arms,Triceps,2,0.5644080230561099,0.118024964405344,,0.6013071895424835,,-0.40501769578072216,-1.690857278244664,,0.43935600999598823,
Turkish Get-ups,Cardio,"Quadriceps, Glutes",Chest,Lats,1,0.635403528432395,0.09197085100332973,,0.5424836601307189,,0.20084560197426468,-1.8174146281918309,,0.17551968992438055,
Mountain Climbers,Strength,"Full Body, Core, Shoulders",Shoulders,Lateral,2,0.6571573412095175,0.186893001884131,,0.5816993464052287,,0.38648885753019363,-1.3563321234296233,,0.35141056997211917,
Push-ups,Yoga,"Biceps, Forearms",Arms,Lower,1,0.6366974845843179,0.2679349298598243,,0.6862745098039216,,0.21188799877388234,-0.96267253191115,,0.8204529167660896,
Jumping Jacks,Strength,"Lower Abs, Hip Flexors",Back,Triceps,1,0.7862841821209862,0.2666881489994831,,0.9084967320261438,,1.488434864515567,-0.9687287457310159,,1.8171679037032757,
Frog Jumps,Cardio,"Upper Chest, Triceps",Abs,Upper,3,0.5926885080655169,0.15116504398419398,,0.4967320261437908,,-0.1636769542915696,-1.5298799851845506,,-0.029686336797981355,
Dragon Flags,Strength,Core,Abs,Upper,3,0.6813576514306386,0.8326337214952699,,0.5359477124183007,,0.5930100968614908,1.7803408834762344,,0.146204543249758,
Plank,Strength,"Chest, Triceps, Shoulders",Abs,Lats,1,0.6573222308107778,0.8983246883767967,,0.5359477124183007,,0.3878959967153514,2.099433479555531,,0.146204543249758,
Lateral Raises,HIIT,"Back, Biceps",Forearms,Middle,3,0.6792549879352253,0.918781622643703,,0.5686274509803922,,0.5750663322154308,2.198802640536572,,0.29278027662287365,
Jumping Jacks,Cardio,"Upper Back, Rear Deltoids",Forearms,Wrist Flexors,2,0.6610734966439663,0.19018061443885717,,0.6405228758169934,,0.4199086470430774,-1.3403626092819256,,0.6152468900437273,
Dead Bugs,Yoga,Calves,Legs,Posterior,1,0.5624121148635776,0.12778481435713418,,0.6013071895424835,,-0.4220504292352514,-1.6434489966147445,,0.43935600999598823,
Bird Dogs,Strength,"Shoulders, Upper Back",Forearms,Anterior,3,0.47605505963209693,0.7810791469963005,,0.11764705882352944,,-1.1590065222956334,1.5299155389032375,,-1.7299648439261224,
Face Pulls,Cardio,"Legs, Core",Abs,Posterior,3,0.5589114240935813,0.6581023361162256,,0.3986928104575163,,-0.45192471554519636,0.932558067943087,,-0.4694135369173282,
Jumping Jacks,Strength,"Glutes, Hamstrings, Core",Back,Wrist Flexors,1,0.6232570656897839,0.3237551242087632,,0.5424836601307189,,0.09718980102894684,-0.6915270217441695,,0.17551968992438055,
Bear Crawls,Strength,Triceps,Arms,Wrist Flexors,2,0.6782464301377618,0.8272670090868773,,0.5490196078431373,,0.5664594753459832,1.7542721821600638,,0.20483483659900406,
Resistance Band Pull-Aparts,Strength,"Core, Shoulders, Legs",Arms,Triceps,3,0.4798004918438598,0.45882788596820573,,0.12418300653594776,,-1.1270436550787686,-0.0354137042593961,,-1.700649697251499,
Plyo Squats,Cardio,Quadriceps,Forearms,Lats,1,0.7387411908606085,0.21906307327360844,,0.8954248366013072,,1.0827112441612758,-1.200066626314351,,1.7585376103540298,
Tricep Extensions,Cardio,"Legs, Shoulders, Core",Chest,Lower Chest,1,0.6009369364576367,0.536781639625109,,0.4836601307189542,,-0.09328630067964555,0.34324514046986787,,-0.08831663014722764,
Inverted Rows,Cardio,"Triceps, Chest",Abs,Lower,2,0.6033335338143222,0.3676711393983516,,0.3594771241830066,,-0.07283415557247949,-0.47820583069553624,,-0.6453044169650666,
Dead Bugs,Yoga,Full Core,Forearms,Wrist Extensors,2,0.5535145752693381,0.7483458360510311,,0.4967320261437908,,-0.49798048497469755,1.3709141165823528,,-0.029686336797981355,
Leg Press,Yoga,"Biceps, Forearms",Back,Quads,1,0.4075801259595921,0.36464210943201336,,0.07843137254901963,,-1.7433596994227543,-0.4929192849411406,,-1.905855723973861,
Turkish Get-ups,HIIT,"Glutes, Hamstrings, Core",Back,Anterior,1,0.7482787477445989,0.17509805119273392,,0.5947712418300654,,1.164103096161394,-1.41362586738582,,0.4100408633213657,
Superman,Strength,"Lower Back, Glutes",Abs,Lower Chest,2,0.626541327734663,0.3605232114534153,,0.35294117647058826,,0.12521712223267256,-0.5129267518938948,,-0.6746195636396898,
Step-ups,Yoga,"Back, Hamstrings, Glutes",Shoulders,Lats,2,0.5428329256908114,0.815794121554025,,0.5228758169934641,,-0.5891358250882576,1.6985428537428693,,0.08757424990051148,
Decline Push-ups,Strength,"Lower Back, Glutes",Abs,Triceps,1,0.5244886593340254,0.19303353054119846,,0.28758169934640526,,-0.745682604365509,-1.3265046247110133,,-0.967771030385921,
Bear Crawls,HIIT,"Lower Abs, Hip Flexors",Arms,Grip Strength,2,0.8516085085879392,0.494998228406942,,0.869281045751634,,2.045901307597073,0.14028303180279172,,1.6412770236555372,
Calf Raises,HIIT,"Chest, Triceps, Shoulders",Chest,Wrist Flexors,3,0.86125728848113,0.8366073120195013,,0.7581699346405227,,2.1282423174175804,1.7996425222908954,,1.1429195301869433,
Glute Bridges,Yoga,"Chest, Triceps",Legs,Triceps,1,0.43458065783326294,0.47273698383360874,,0.130718954248366,,-1.5129418554280105,0.03214946854329503,,-1.6713345505768762,
Bicep Curls,Cardio,Lower Abs,Shoulders,Lateral,1,0.6368459138462386,0.7107130945649822,,0.5882352941176469,,0.21315466828533935,1.18811380554383,,0.3807257166467417,
Jumping Jacks,Yoga,"Rear Deltoids, Upper Back",Arms,Lats,3,0.5881825444992541,0.36261221373454405,,0.6078431372549018,,-0.2021300638419622,-0.5027794638763029,,0.46867115667061127,
Wall Angels,HIIT,"Full Body, Core, Shoulders",Shoulders,Lower Chest,1,0.6399393335949239,0.2775625850069674,,0.4248366013071894,,0.2395533745181563,-0.9159063839779246,,-0.3521529502188361,
Frog Jumps,HIIT,"Lower Abs, Hip Flexors",Forearms,Quads,1,0.4864189528938643,0.3609945892287005,,0.07843137254901963,,-1.0705628593359147,-0.5106370435033775,,-1.905855723973861,
Lateral Raises,Yoga,"Upper Chest, Triceps",Shoulders,Wrist Extensors,1,0.5872870956961184,0.3966489672841326,,0.7712418300653592,,-0.20977166822188958,-0.3374465944144032,,1.2015498235361888,
Dips,Strength,"Rear Deltoids, Upper Back",Abs,Posterior,1,0.6091845307054772,0.4937782839046303,,0.4640522875816993,,-0.022902765509955167,0.1343571750709618,,-0.17626207017109696,
Zottman Curls,Strength,"Rear Deltoids, Upper Back",Abs,Grip Strength,3,0.6106677052819095,0.40563292636825277,,0.47058823529411753,,-0.010245611578013354,-0.29380718760840846,,-0.14694692349647417,
Pull-ups,HIIT,"Rear Deltoids, Upper Back",Legs,Upper,2,0.7965347661660863,0.1298129980194263,,0.7712418300653592,,1.5759115663231371,-1.6335971338572122,,1.2015498235361888,
Deadlifts,Yoga,"Core, Lower Back",Forearms,Anterior,3,0.5549243396067117,0.5832433055836769,,0.5555555555555556,,-0.48594980125786813,0.5689317806989016,,0.2341499832736271,
Calf Raises,Cardio,"Back, Core, Shoulders",Arms,Wrist Flexors,3,0.6238062442364448,0.5235336078064912,,0.6470588235294117,,0.10187639525167659,0.27889308315325223,,0.6445620367183504,
Renegade Rows,Strength,"Triceps, Chest",Shoulders,Wrist Extensors,2,0.5166950488029644,0.8440638000257266,,0.6143790849673202,,-0.812191921437628,1.8358622679955312,,0.4979863033452348,
Prone Cobras,HIIT,"Legs, Core",Shoulders,Lats,3,0.5813958963761967,0.9491181208571737,,0.19607843137254907,,-0.2600461388208682,2.346161591552614,,-1.3781830838306446,
Reverse Lunges,Strength,"Glutes, Hamstrings, Core",Shoulders,Lower Chest,3,0.5198805020855627,0.1758743069134534,,0.13725490196078433,,-0.7850078170297432,-1.409855220295292,,-1.642019403902253,
Deadlifts,HIIT,"Lower Back, Glutes",Shoulders,Lower,3,0.7034685510123265,0.4229166727456781,,0.503267973856209,,0.7817006691151754,-0.20985172518546563,,-0.0003711901233585814,
Seated Rows,Yoga,"Upper Chest, Triceps",Chest,Posterior,2,0.6251022795137682,0.41356683060625204,,0.8169934640522875,,0.11293653494593138,-0.2552684018281117,,1.4067558502585515,
Rows,Yoga,"Core, Obliques",Legs,Grip Strength,2,0.5761007086165578,0.5725886067010463,,0.6013071895424835,,-0.30523435040247476,0.5171767877630636,,0.43935600999598823,
Turkish Get-ups,Strength,"Shoulders, Upper Back",Forearms,Posterior,2,0.7873828512871124,0.22907046972587164,,0.764705882352941,,1.497810716136074,-1.151455892365093,,1.1722346768615663,
Push Ups,Strength,"Core, Shoulders, Legs",Abs,Wrist Flexors,3,0.6722380328537982,0.7345966800322637,,0.5816993464052287,,0.5151848577009595,1.3041278581940396,,0.35141056997211917,
Zottman Curls,Cardio,"Upper Chest, Triceps",Chest,Lower Chest,1,0.6543489523176181,0.3696970336702292,,0.6013071895424835,,0.36252255506630565,-0.4683650886074883,,0.43935600999598823,
Inverted Rows,Yoga,"Core, Shoulders, Hips",Back,Wrist Extensors,3,0.5648869593568524,0.8572973858975045,,0.5228758169934641,,-0.40093053667051554,1.9001441544058744,,0.08757424990051148,
Shoulder Press,Strength,"Core, Lower Back",Abs,Middle,1,0.7545042831150247,0.7809577635617948,,0.849673202614379,,1.2172307324790081,1.5293259212270764,,1.553331583631667,
Mountain Climbers,Cardio,"Back, Core, Shoulders",Chest,Lateral,2,0.581334519107146,0.4949053947832419,,0.4640522875816993,,-0.260569921762298,0.139832094278256,,-0.17626207017109696,
Windshield Wipers,Strength,"Rear Deltoids, Upper Back",Abs,Quads,1,0.5511757396327457,0.6285501475456884,,0.261437908496732,,-0.5179397016065451,0.7890088857883414,,-1.0850316170844139,
Bench Press,Strength,"Rear Deltoids, Upper Back",Legs,Upper,3,0.5470658864436414,0.24829406707664234,,0.326797385620915,,-0.5530124740763263,-1.0580776415059856,,-0.7918801503381827,
Bicep Curls,Cardio,"Quadriceps, Glutes",Arms,Triceps,3,0.471903379988584,0.6665265025773224,,0.065359477124183,,-1.194436234454302,0.9734782929524626,,-1.9644860173231076,
Pistol Squats,Yoga,"Upper Back, Rear Deltoids",Back,Upper,1,0.44320233161166694,0.5716108100585665,,0.18300653594771243,,-1.4393659905916938,0.5124271595584858,,-1.4368133771798912,
Windshield Wipers,HIIT,"Core, Obliques",Forearms,Quads,3,0.6111598207697435,0.4230238939000145,,0.22222222222222218,,-0.006045983576843978,-0.20933090051023268,,-1.2609224971321524,
Bird Dogs,Cardio,"Glutes, Hamstrings",Arms,Triceps,2,0.5757654875386654,0.3936923411543559,,0.3333333333333333,,-0.30809506879094783,-0.35180834842980413,,-0.7625650036635594,
Leg Press,Cardio,"Back, Biceps",Shoulders,Posterior,2,0.6021550280495286,0.6447926050325767,,0.503267973856209,,-0.08289131884354518,0.8679063076446226,,-0.0003711901233585814,
Burpees,Cardio,"Rear Deltoids, Upper Back",Abs,Lower Chest,2,0.6107276809945841,0.626945745171002,,0.5947712418300654,,-0.009733789274986804,0.7812155324066234,,0.4100408633213657,
Plank,Cardio,"Glutes, Hamstrings, Core",Legs,Grip Strength,3,0.6063518864282801,0.9127253888812578,,0.5294117647058822,,-0.047076059214301275,2.169384602631802,,0.116889396575134,
Russian Twists,HIIT,"Legs, Shoulders, Core",Abs,Lateral,3,0.4705471902533836,0.579407553933835,,0.43790849673202603,,-1.20600972183206,0.5502996915401154,,-0.2935226568695898,
Thrusters,HIIT,Core,Back,Upper,2,0.682836916860265,0.24759866323599425,,0.5163398692810457,,0.6056338908143368,-1.061455552159,,0.05825910322588796,
Leg Press,Strength,"Lower Back, Glutes",Abs,Grip Strength,1,0.758089358325131,0.3668311925235683,,0.784313725490196,,1.2478251409275776,-0.4822858563302126,,1.2601801168854359,
Plyometric Push-ups,Strength,"Chest, Triceps",Abs,Lats,3,0.7199705593072074,0.7022436414511726,,0.7581699346405227,,0.9225259384350606,1.1469736014982508,,1.1429195301869433,
Inverted Rows,Strength,Calves,Legs,Upper,2,0.626380440886654,0.5247753397689936,,0.5294117647058822,,0.12384414184773851,0.28492477204990274,,0.116889396575134,
Shoulder Press,Strength,"Back, Core, Shoulders",Back,Wrist Extensors,3,0.6713311769198007,0.6251608307440669,,0.6078431372549018,,0.5074459068497983,0.7725453452361821,,0.46867115667061127,
Thrusters,Strength,Core,Arms,Anterior,3,0.6801401525769297,0.6894225573850236,,0.5816993464052287,,0.5826201733499751,1.0846954345990376,,0.35141056997211917,
Plank,Cardio,"Lower Abs, Hip Flexors",Shoulders,Grip Strength,3,0.5008219055443913,0.5818497437654488,,0.4640522875816993,,-0.947650565888503,0.5621625812262049,,-0.17626207017109696,
Dragon Flags,Strength,"Core, Obliques",Back,Wrist Extensors,2,0.8191126386675107,0.5683539448105334,,0.8627450980392157,,1.7685872042737885,0.49660699985601703,,1.611961876980914,
Thrusters,HIIT,"Back, Hamstrings, Glutes",Legs,Lower,3,0.6686768122763946,0.19900364234485016,,0.503267973856209,,0.48479402053988785,-1.2975049225488187,,-0.0003711901233585814,
Reverse Lunges,HIIT,"Lower Back, Glutes",Shoulders,Middle,1,0.6942101166171022,0.40599680522829024,,0.6209150326797384,,0.7026907998986867,-0.2920396531113575,,0.5273014500198573,
Tricep Extensions,Strength,Core,Back,Lower,2,0.7115359649382623,0.9858658951064552,,0.6470588235294117,,0.850546576748571,2.5246631914223006,,0.6445620367183504,
Bird Dogs,Cardio,"Full Body, Core, Shoulders",Forearms,Lower Chest,1,0.7433665846275145,0.3205283672998892,,0.7973856209150325,,1.1221835502767148,-0.7072009307737981,,1.3188104102346818,
Tricep Dips,HIIT,"Upper Back, Rear Deltoids",Arms,Wrist Flexors,3,0.8246676459736046,0.8185287542243173,,0.7320261437908497,,1.8159926706858542,1.7118262788393601,,1.0256589434884518,
Resistance Band Pull-Aparts,Cardio,"Shoulders, Upper Back",Abs,Middle,1,0.44655837617497124,0.47436490118458025,,0.04575163398692813,,-1.410726089857704,0.04005704546571827,,-2.0524314573469766,
Deadlift,Yoga,"Core, Lower Back",Abs,Triceps,1,0.5477835467389089,0.1565509064950897,,0.4183006535947712,,-0.5468880859076092,-1.5037182626173164,,-0.38146809689345884,
Windshield Wipers,Strength,"Upper Back, Rear Deltoids",Arms,Anterior,1,0.7472582318776795,0.7286278179835325,,0.7712418300653592,,1.1553941912065515,1.275134226692104,,1.2015498235361888,
Plyometric Push-ups,Yoga,"Biceps, Forearms",Legs,Grip Strength,3,0.621869106727559,0.47825093508860955,,0.718954248366013,,0.08534520059198668,0.058933379697869506,,0.9670286501392046,
Mountain Climbers,Cardio,Full Body,Chest,Lower Chest,2,0.6064787248554828,0.27644946392113207,,0.6274509803921569,,-0.04599364213198307,-0.9213133480384533,,0.5566165966944813,
Dead Bugs,Cardio,"Legs, Shoulders, Core",Legs,Upper,1,0.6659823552071915,0.4041905346566292,,0.5947712418300654,,0.46179999243973796,-0.3008135773401245,,0.4100408633213657,
Resistance Band Pull-Aparts,Cardio,"Legs, Shoulders, Core",Legs,Lats,1,0.6541934392955586,0.3616769127054937,,0.6013071895424835,,0.36119543397759096,-0.5073226704638018,,0.43935600999598823,
Inverted Rows,Yoga,"Lower Back, Glutes",Arms,Triceps,1,0.5246172266322476,0.2569212908751137,,0.4640522875816993,,-0.7445854333985372,-1.0161710694231585,,-0.17626207017109696,
Wall Angels,Cardio,"Upper Back, Rear Deltoids",Back,Anterior,1,0.6189095906912587,0.8424309969830105,,0.6143790849673202,,0.06008920535667976,1.827930958920326,,0.4979863033452348,
Step-ups,Yoga,"Core, Obliques",Legs,Posterior,2,0.5880247174119329,0.4288429615633606,,0.4901960784313726,,-0.20347693276123696,-0.181064892326688,,-0.05900148347260413,
Scissors Kicks,Strength,"Core, Shoulders, Legs",Back,Upper,2,0.672342155783315,0.42928742482451426,,0.4771241830065359,,0.5160734246759333,-0.1789059206659546,,-0.11763177682185066,
Dips,Yoga,"Core, Obliques",Legs,Lateral,3,0.5256965866207652,0.4762091557323735,,0.3790849673202614,,-0.7353743629421461,0.049015476120997416,,-0.5573589769411975,
Lunges,Cardio,"Lower Back, Glutes",Chest,Grip Strength,1,0.590806429005715,0.2635775308733121,,0.5751633986928104,,-0.17973828972067207,-0.9838385128787781,,0.32209542329749613,
Prone Cobras,HIIT,"Chest, Triceps",Forearms,Posterior,2,0.7258375936921385,0.1324891357302805,,0.5947712418300654,,0.972594189680774,-1.620597846890372,,0.4100408633213657,
Tricep Extensions,Strength,"Quadriceps, Glutes",Chest,Middle,1,0.7599154502613765,0.26657890048672245,,0.6993464052287582,,1.2634086919796284,-0.9692594182604288,,0.8790832101153361,
Resistance Band Pull-Aparts,Cardio,"Glutes, Hamstrings",Shoulders,Anterior,3,0.558371653071673,0.5355016087596836,,0.23529411764705882,,-0.4565310275875241,0.33702741539593367,,-1.2022922037829062,
Push Ups,Cardio,Lower Abs,Arms,Lateral,1,0.5765506432387371,0.5629242180216473,,0.3594771241830066,,-0.30139468657414015,0.47023220741017474,,-0.6453044169650666,
Bicep Curls,Yoga,"Legs, Core",Legs,Wrist Extensors,3,0.5380037209781438,0.3741657366596393,,0.4575163398692809,,-0.6303474183749517,-0.44665845060701803,,-0.20557721684572047,
Bicycle Crunches,Strength,Full Body,Arms,Lower Chest,1,0.6767880446419288,0.4276105410078312,,0.4901960784313726,,0.5540138671174014,-0.18705135124477035,,-0.05900148347260413,
Flutter Kicks,HIIT,"Back, Biceps",Legs,Posterior,3,0.7209258231678766,0.8004038669050446,,0.5294117647058822,,0.9306779941149752,1.6237849906241635,,0.116889396575134,
Lunges,Strength,"Core, Shoulders, Hips",Arms,Anterior,1,0.560981519320108,0.1668968226179625,,0.3790849673202614,,-0.4342588828426482,-1.453463175941244,,-0.5573589769411975,
Superman,Strength,"Upper Chest, Triceps",Legs,Anterior,2,0.6863899435635901,0.6756938513210887,,0.6209150326797384,,0.635954802878822,1.0180085114692385,,0.5273014500198573,
Frog Jumps,Strength,"Quadriceps, Glutes",Chest,Wrist Extensors,3,0.6070370877648195,0.4602848335851613,,0.5751633986928104,,-0.04122867015521105,-0.028336609500167653,,0.32209542329749613,
Turkish Get-ups,Yoga,Full Body,Forearms,Upper,1,0.4528257099024764,0.2593877558957447,,0.21568627450980388,,-1.357241753628925,-1.0041902634777788,,-1.2902376438067757,
Dragon Flags,Yoga,"Core, Shoulders, Legs",Abs,Triceps,2,0.5197416392330193,0.5769756977886764,,0.4509803921568627,,-0.786192848467039,0.5384869975353286,,-0.23489236352034326,
Face Pulls,HIIT,Triceps,Back,Triceps,3,0.6890771452864977,0.5104985836698477,,0.5620915032679737,,0.6588869151152892,0.2155757065157721,,0.2634651299482496,
Frog Jumps,HIIT,"Back, Hamstrings, Glutes",Legs,Triceps,3,0.5882193523857282,0.5412695234726825,,0.20261437908496732,,-0.20181595173916939,0.3650449491164244,,-1.3488679371560217,
Plyometric Push-ups,Yoga,"Chest, Triceps, Shoulders",Shoulders,Lats,3,0.4987075574858552,0.3096395841560053,,0.24183006535947713,,-0.9656940445644706,-0.7600929834633665,,-1.172977057108283,
Seated Rows,Cardio,"Chest, Triceps",Legs,Anterior,2,0.6225920892728563,0.5594832812157832,,0.5882352941176469,,0.09151500791699226,0.45351792368973304,,0.3807257166467417,
Flutter Kicks,HIIT,"Chest, Triceps, Shoulders",Arms,Lower,1,0.36225400644885847,0.9104019637300172,,0.5490196078431373,,-2.1301649217486003,2.158098610074525,,0.20483483659900406,
Leg Press,Yoga,"Back, Biceps",Shoulders,Lateral,1,0.5430079115478013,0.43063334313675555,,0.3464052287581699,,-0.5876425262123015,-0.17236814859847552,,-0.7039347103143131,
Burpees,Yoga,"Quadriceps, Glutes",Shoulders,Lower,1,0.6026298327341992,0.49462883489426,,0.5947712418300654,,-0.07883941822646519,0.13848870998760016,,0.4100408633213657,
Pistol Squats,Cardio,"Chest, Triceps, Shoulders",Shoulders,Anterior,2,0.4992527042581875,0.23191673289886308,,0.27450980392156865,,-0.9610418568027921,-1.137630224269315,,-1.0264013237351672,
Shoulder Press,HIIT,"Back, Core, Shoulders",Back,Posterior,1,0.7075580871379742,0.5553824902160113,,0.5098039215686274,,0.8166000592982712,0.4335984110350364,,0.02894395655126494,
