Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Sets,Reps,Burns Calories (per 30 min),pseudo_target
Face Pulls,HIIT,Full Core,Abs,Quads,1,4,23,341.07,0.50868076
Seated Rows,HIIT,"Core, Lower Back",Forearms,Triceps,1,4,15,361.87,0.50867766
Dragon Flags,HIIT,"Core, Lower Back",Forearms,Anterior,1,4,20,365.7,0.50867766
Seated Rows,HIIT,"Upper Chest, Triceps",Legs,Triceps,1,4,17,336.14,0.50866157
Dips,HIIT,Triceps,Arms,Grip Strength,1,4,23,360.6,0.50866
Squats,HIIT,"Core, Lower Back",Legs,Grip Strength,1,4,23,334.92,0.5086598
Seated Rows,HIIT,"Shoulders, Triceps",Shoulders,Lateral,1,5,22,369.93,0.50865674
Bulgarian Split Squats,HIIT,"Triceps, Chest",Abs,Upper,1,5,25,333.27,0.50865656
Face Pulls,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Anterior,1,4,18,363.28,0.5086554
Renegade Rows,HIIT,Quadriceps,Forearms,Triceps,1,4,17,350.75,0.50865155
Rows,HIIT,"Shoulders, Triceps",Forearms,Middle,1,4,21,362.13,0.50865096
Plyo Squats,HIIT,Quadriceps,Shoulders,Triceps,1,5,24,346.93,0.5086481
Tricep Extensions,HIIT,Calves,Back,Posterior,1,5,25,345.68,0.50864166
Dragon Flags,HIIT,Shoulders,Forearms,Quads,1,4,16,340.09,0.50864124
Lunges,HIIT,Triceps,Abs,Triceps,1,4,21,336.76,0.50864047
Face Pulls,HIIT,"Core, Lower Back",Forearms,Quads,1,3,10,280.65,0.5086372
Wall Angels,HIIT,"Glutes, Hamstrings",Legs,Posterior,1,5,20,351.5,0.5086353
Dips,HIIT,Triceps,Abs,Wrist Flexors,1,5,25,366.43,0.5086317
Step-ups,HIIT,"Chest, Triceps, Shoulders",Arms,Triceps,1,4,25,329.68,0.5086111
Russian Twists,HIIT,"Core, Lower Back",Chest,Lower Chest,1,4,25,334.45,0.50860447
Tricep Dips,HIIT,"Rear Deltoids, Upper Back",Legs,Anterior,1,4,22,331.59,0.5085997
Dips,HIIT,"Shoulders, Triceps",Chest,Grip Strength,1,5,23,330.12,0.5085986
Reverse Lunges,HIIT,"Core, Lower Back",Chest,Lats,1,4,20,359.18,0.50859684
Incline Push-ups,HIIT,"Lower Back, Glutes",Chest,Grip Strength,1,4,15,335.3,0.50859624
Plyo Squats,HIIT,"Glutes, Hamstrings, Core",Chest,Triceps,1,4,16,353.84,0.5085956
Inverted Rows,HIIT,"Rear Deltoids, Upper Back",Shoulders,Lateral,1,5,17,357.75,0.5085949
Bear Crawls,HIIT,"Rear Deltoids, Upper Back",Shoulders,Lateral,1,5,24,370.54,0.5085949
Glute Bridges,HIIT,"Shoulders, Triceps",Chest,Wrist Flexors,1,4,24,331.19,0.5085947
Decline Push-ups,HIIT,"Core, Obliques",Legs,Lateral,1,5,22,332.73,0.5085904
Renegade Rows,HIIT,"Quadriceps, Hamstrings, Glutes",Forearms,Lateral,1,3,15,335.61,0.50859
Bird Dogs,HIIT,"Lower Chest, Triceps",Legs,Lats,1,5,18,333.15,0.5085805
Lateral Raises,HIIT,"Shoulders, Upper Back",Shoulders,Posterior,1,5,23,350.4,0.508578
Decline Push-ups,HIIT,Quadriceps,Shoulders,Anterior,1,4,17,326.51,0.50857687
Rows,HIIT,Full Core,Abs,Anterior,1,4,19,338.83,0.50857407
Bird Dogs,HIIT,"Lower Abs, Hip Flexors",Back,Wrist Extensors,1,4,10,279.64,0.50857
Resistance Band Pull-Aparts,HIIT,"Obliques, Core",Arms,Grip Strength,1,4,25,342.4,0.5085675
Dead Bugs,HIIT,"Core, Shoulders, Legs",Forearms,Lateral,1,4,19,346.96,0.5085657
Russian Twists,HIIT,"Rear Deltoids, Upper Back",Abs,Grip Strength,1,4,24,370.34,0.5085654
Inverted Rows,HIIT,Full Core,Abs,Wrist Flexors,1,4,25,363.34,0.50856537
Incline Push-ups,HIIT,Full Core,Arms,Wrist Flexors,1,5,18,338.03,0.50856537
Lat Pulldowns,HIIT,"Back, Biceps",Arms,Middle,1,5,20,357.74,0.5085632
Box Jumps,HIIT,"Glutes, Hamstrings, Core",Back,Lateral,1,4,22,340.62,0.50856006
Leg Press,HIIT,"Upper Chest, Triceps",Legs,Triceps,1,4,23,337.32,0.50855845
Lunges,HIIT,Calves,Abs,Grip Strength,1,5,20,353.15,0.50855476
Lunges,HIIT,"Obliques, Core",Shoulders,Middle,1,5,18,367.71,0.50855047
Face Pulls,HIIT,"Back, Hamstrings, Glutes",Chest,Posterior,1,4,25,354.23,0.5085483
Dead Bugs,HIIT,"Glutes, Hamstrings",Arms,Wrist Extensors,1,5,15,337.19,0.508547
Reverse Lunges,HIIT,"Quadriceps, Hamstrings, Glutes",Shoulders,Middle,1,5,25,328.51,0.50854456
Step-ups,HIIT,"Quadriceps, Calves, Glutes",Forearms,Lower,1,4,23,347.12,0.50853485
Turkish Get-ups,HIIT,Full Core,Forearms,Lower Chest,1,4,19,348.97,0.5085336
Incline Push-ups,HIIT,Shoulders,Arms,Anterior,1,5,15,338.98,0.50853086
Box Jumps,HIIT,"Lower Back, Glutes",Back,Lower Chest,1,5,15,361.78,0.5085266
Shoulder Press,HIIT,"Lower Chest, Triceps",Back,Triceps,1,5,17,337.83,0.50852025
Tricep Dips,HIIT,"Quadriceps, Hamstrings, Glutes",Legs,Anterior,1,5,19,366.08,0.5085201
Glute Bridges,HIIT,"Triceps, Chest",Chest,Lateral,1,5,16,363.52,0.5085192
Frog Jumps,HIIT,"Lower Chest, Triceps",Abs,Upper,1,4,16,369.24,0.508514
Russian Twists,HIIT,"Back, Biceps",Legs,Wrist Flexors,1,5,25,347.13,0.5085057
Dips,HIIT,"Core, Lower Back",Forearms,Posterior,1,3,12,220.03,0.50850517
Bicep Curls,HIIT,"Chest, Triceps",Back,Upper,1,4,21,331.06,0.5085019
Bear Crawls,HIIT,"Lower Abs, Hip Flexors",Back,Posterior,1,5,17,367.4,0.5085002
Dragon Flags,HIIT,Shoulders,Back,Middle,1,5,18,354.45,0.5084975
Flutter Kicks,HIIT,Triceps,Forearms,Posterior,1,4,15,342.8,0.50849223
Lat Pulldowns,HIIT,Full Core,Legs,Middle,1,5,20,356.75,0.50847936
Wall Angels,HIIT,Quadriceps,Back,Lats,1,4,15,309.72,0.508474
Tricep Dips,HIIT,"Shoulders, Triceps",Shoulders,Posterior,1,5,15,335.45,0.50846744
Reverse Lunges,HIIT,"Legs, Core",Shoulders,Lateral,1,5,24,334.1,0.5084639
Rows,HIIT,"Core, Lower Back",Shoulders,Anterior,1,4,17,329.72,0.5084558
Dips,HIIT,"Legs, Shoulders, Core",Forearms,Lateral,1,4,19,360.84,0.5084478
Flutter Kicks,HIIT,Full Core,Abs,Posterior,1,4,19,340.01,0.5084461
Tricep Dips,HIIT,"Legs, Shoulders, Core",Shoulders,Grip Strength,1,5,25,328.54,0.50844425
Plyometric Push-ups,HIIT,"Rear Deltoids, Upper Back",Legs,Posterior,1,3,12,259.85,0.508441
Rows,HIIT,Calves,Arms,Lower Chest,1,4,20,358.8,0.5084348
Jumping Jacks,HIIT,"Back, Biceps",Legs,Lateral,1,5,21,331.11,0.5084302
Lat Pulldowns,HIIT,"Glutes, Hamstrings",Shoulders,Posterior,1,5,20,352.72,0.50842464
Push-ups,HIIT,"Glutes, Hamstrings, Core",Chest,Quads,1,5,23,368.5,0.5084233
Renegade Rows,HIIT,"Quadriceps, Calves, Glutes",Forearms,Lower Chest,1,4,24,358.01,0.5084192
Tricep Extensions,HIIT,"Back, Biceps",Legs,Quads,1,4,15,358.23,0.50841755
Jumping Jacks,HIIT,"Full Body, Core, Shoulders",Shoulders,Anterior,1,4,17,333.74,0.5084103
Inverted Rows,HIIT,"Legs, Core",Abs,Wrist Extensors,1,4,24,342.34,0.5084071
Leg Press,HIIT,"Lower Back, Glutes",Back,Triceps,1,5,21,337.52,0.50840247
Resistance Band Pull-Aparts,HIIT,"Lower Back, Glutes",Shoulders,Wrist Flexors,1,5,24,363.74,0.50840133
Pistol Squats,HIIT,"Biceps, Forearms",Back,Lateral,1,4,24,350.02,0.50840104
Decline Push-ups,HIIT,"Upper Chest, Triceps",Shoulders,Quads,1,4,16,355.14,0.5083947
Face Pulls,HIIT,"Chest, Triceps",Arms,Anterior,1,5,23,332.59,0.50838596
Frog Jumps,HIIT,"Core, Lower Back",Legs,Anterior,1,5,17,337.12,0.5083764
Squats,HIIT,"Core, Lower Back",Legs,Anterior,1,5,25,350.36,0.5083764
Push-ups,HIIT,"Lower Back, Glutes",Arms,Triceps,1,5,25,356.87,0.5083743
Turkish Get-ups,HIIT,Triceps,Forearms,Lats,1,5,15,347.87,0.5083724
Tricep Extensions,HIIT,Full Core,Abs,Lateral,1,4,20,335.33,0.5083715
Push Ups,HIIT,Calves,Arms,Lower Chest,1,4,22,368.53,0.5083674
Russian Twists,HIIT,"Core, Obliques",Forearms,Lower,1,5,23,359.71,0.50836414
Bench Press,HIIT,"Glutes, Hamstrings",Arms,Lateral,1,5,15,331.0,0.5083631
Deadlifts,HIIT,"Glutes, Hamstrings, Core",Forearms,Upper,1,5,18,338.58,0.5083599
Seated Rows,HIIT,"Glutes, Hamstrings",Chest,Anterior,1,4,25,358.7,0.50835854
Lunges,HIIT,"Core, Lower Back",Abs,Triceps,1,5,20,358.82,0.5083553
Squats,HIIT,Quadriceps,Legs,Triceps,1,4,20,336.7,0.5083503
Burpees,HIIT,"Back, Hamstrings, Glutes",Arms,Lateral,1,5,23,376.47,0.5083461
Seated Rows,HIIT,"Chest, Triceps, Shoulders",Arms,Grip Strength,1,4,22,331.78,0.5083441
Squats,HIIT,"Chest, Triceps",Abs,Anterior,1,4,16,342.0,0.50834394
Frog Jumps,HIIT,Triceps,Abs,Triceps,1,4,25,368.91,0.50834394
Squats,HIIT,"Lower Back, Glutes",Back,Middle,1,5,23,341.65,0.5083409
Tricep Dips,HIIT,"Core, Obliques",Abs,Middle,1,5,15,340.61,0.50833946
Renegade Rows,HIIT,"Glutes, Hamstrings",Abs,Quads,1,4,22,343.01,0.50833744
Zottman Curls,HIIT,Shoulders,Forearms,Lower Chest,1,4,23,363.39,0.5083329
Zottman Curls,HIIT,Full Core,Forearms,Lats,1,5,20,339.33,0.5083285
Burpees,HIIT,"Triceps, Chest",Forearms,Lower,1,5,25,346.49,0.508324
Bear Crawls,HIIT,"Chest, Triceps",Forearms,Lower,1,4,16,333.46,0.508324
Frog Jumps,HIIT,Triceps,Forearms,Lower,1,4,19,360.93,0.508324
Leg Raises,HIIT,Shoulders,Chest,Wrist Flexors,1,4,24,347.62,0.5083136
Plyometric Push-ups,HIIT,"Rear Deltoids, Upper Back",Abs,Lateral,1,4,24,374.32,0.50831264
Wall Angels,HIIT,"Back, Hamstrings, Glutes",Abs,Middle,1,4,25,335.57,0.5083105
Seated Rows,HIIT,"Chest, Triceps, Shoulders",Abs,Middle,1,4,22,372.67,0.508307
Squats,HIIT,"Upper Back, Rear Deltoids",Legs,Middle,1,4,24,333.85,0.50830317
Shoulder Press,HIIT,Quadriceps,Legs,Upper,1,4,21,337.48,0.5082942
Squats,HIIT,Calves,Shoulders,Lateral,1,4,17,352.38,0.50828767
Renegade Rows,HIIT,Calves,Shoulders,Lateral,1,5,21,347.38,0.50828767
Resistance Band Pull-Aparts,HIIT,"Triceps, Chest",Chest,Posterior,1,4,19,359.79,0.5082716
Resistance Band Pull-Aparts,HIIT,"Triceps, Chest",Chest,Posterior,1,4,20,356.79,0.5082716
Resistance Band Pull-Aparts,HIIT,"Upper Chest, Triceps",Arms,Quads,1,4,21,361.41,0.50826025
Tricep Dips,HIIT,"Full Body, Core, Shoulders",Shoulders,Middle,1,4,16,343.95,0.5082456
Deadlift,HIIT,Triceps,Back,Lower Chest,1,4,18,334.02,0.50824517
Leg Press,HIIT,"Back, Biceps",Forearms,Posterior,1,3,12,248.76,0.50824356
Renegade Rows,HIIT,Triceps,Legs,Posterior,1,4,22,345.36,0.5082409
Kettlebell Swings,HIIT,"Legs, Shoulders, Core",Arms,Wrist Flexors,1,5,21,352.95,0.5082382
Deadlift,HIIT,"Legs, Shoulders, Core",Forearms,Triceps,1,5,18,362.87,0.5082356
Jumping Jacks,HIIT,"Legs, Shoulders, Core",Forearms,Anterior,1,5,23,375.41,0.5082356
Plyo Squats,HIIT,"Legs, Shoulders, Core",Shoulders,Anterior,1,4,18,365.48,0.5082321
Reverse Lunges,HIIT,"Rear Deltoids, Upper Back",Forearms,Lower,1,4,17,333.18,0.5082247
Resistance Band Pull-Aparts,HIIT,"Quadriceps, Calves, Glutes",Forearms,Triceps,1,5,20,349.23,0.50822186
Burpees,HIIT,"Chest, Triceps",Arms,Grip Strength,1,4,15,357.81,0.5082164
Leg Press,HIIT,"Lower Back, Glutes",Chest,Anterior,1,5,23,336.77,0.50820976
Face Pulls,HIIT,Quadriceps,Back,Anterior,1,4,23,335.44,0.508206
Flutter Kicks,HIIT,"Core, Lower Back",Abs,Triceps,1,3,12,179.76,0.50820434
Leg Raises,HIIT,"Core, Shoulders, Legs",Legs,Upper,1,4,16,352.82,0.50820404
Inverted Rows,HIIT,"Core, Shoulders, Legs",Legs,Upper,1,4,15,310.12,0.50820404
Reverse Lunges,HIIT,"Legs, Shoulders, Core",Forearms,Triceps,1,5,15,358.91,0.50819814
Reverse Lunges,HIIT,"Legs, Core",Back,Upper,1,4,20,354.98,0.5081977
Dips,HIIT,Quadriceps,Back,Triceps,1,4,23,347.01,0.5081967
Frog Jumps,HIIT,Quadriceps,Legs,Wrist Flexors,1,4,21,339.86,0.50819445
Bird Dogs,HIIT,"Lower Back, Glutes",Forearms,Quads,1,4,19,343.71,0.5081929
Turkish Get-ups,HIIT,Full Body,Chest,Posterior,1,5,16,358.62,0.5081909
Jumping Jacks,HIIT,"Glutes, Hamstrings",Arms,Lateral,1,4,16,358.36,0.50818855
Deadlift,HIIT,Triceps,Arms,Wrist Flexors,1,4,17,360.42,0.50818807
Plyometric Push-ups,HIIT,"Back, Biceps",Abs,Posterior,1,5,24,340.96,0.5081852
Russian Twists,HIIT,"Chest, Triceps",Abs,Middle,1,4,22,373.65,0.50817925
Squats,HIIT,"Upper Chest, Triceps",Abs,Middle,1,4,17,335.58,0.50817925
Push-ups,HIIT,"Chest, Triceps",Abs,Middle,1,4,17,350.72,0.50817925
Burpees,HIIT,"Rear Deltoids, Upper Back",Legs,Posterior,1,5,20,360.73,0.508179
Rows,HIIT,"Shoulders, Triceps",Forearms,Lower,1,4,17,360.19,0.50817686
Plyometric Push-ups,HIIT,"Glutes, Hamstrings",Back,Lower,1,4,18,367.86,0.5081744
Lunges,HIIT,"Back, Hamstrings, Glutes",Chest,Lower,1,4,21,354.28,0.5081738
Resistance Band Pull-Aparts,HIIT,"Back, Hamstrings, Glutes",Legs,Triceps,1,3,15,139.85,0.5081733
Bird Dogs,HIIT,Core,Chest,Lower Chest,1,5,19,349.32,0.50817186
Jumping Jacks,HIIT,Calves,Forearms,Anterior,1,5,19,363.79,0.5081703
Wall Angels,HIIT,"Lower Back, Glutes",Legs,Posterior,1,4,17,334.11,0.50816894
Decline Push-ups,HIIT,"Shoulders, Triceps",Legs,Quads,1,5,16,359.36,0.50816816
Bicep Curls,HIIT,"Upper Back, Rear Deltoids",Legs,Anterior,1,5,25,355.15,0.5081602
Dragon Flags,HIIT,"Back, Hamstrings, Glutes",Arms,Posterior,1,5,16,344.96,0.5081568
Renegade Rows,HIIT,Quadriceps,Shoulders,Posterior,1,5,17,334.68,0.5081562
Dips,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Quads,1,5,22,371.4,0.5081527
Dips,HIIT,"Chest, Triceps",Arms,Lateral,1,4,24,336.25,0.5081453
Flutter Kicks,HIIT,"Core, Obliques",Back,Lateral,1,5,15,338.23,0.5081387
Box Jumps,HIIT,"Glutes, Hamstrings",Legs,Grip Strength,1,4,20,365.26,0.50812584
Rows,HIIT,"Core, Obliques",Abs,Lateral,1,5,16,333.64,0.5081256
Step-ups,HIIT,"Lower Chest, Triceps",Forearms,Anterior,1,4,17,349.26,0.50812554
Superman,HIIT,"Lower Back, Glutes",Forearms,Quads,1,5,22,369.64,0.50812286
Leg Raises,HIIT,"Core, Shoulders, Hips",Abs,Triceps,1,4,15,358.99,0.5081228
Push-ups,HIIT,Core,Abs,Lateral,1,5,20,357.72,0.50811255
Push-ups,HIIT,"Core, Obliques",Arms,Anterior,1,4,20,350.0,0.50809324
Incline Push-ups,HIIT,"Core, Obliques",Arms,Anterior,1,5,20,339.59,0.50809324
Face Pulls,HIIT,"Triceps, Chest",Chest,Lateral,1,4,24,352.53,0.5080932
Decline Push-ups,HIIT,Full Core,Chest,Wrist Flexors,1,5,25,354.2,0.50809306
Leg Press,HIIT,Core,Arms,Wrist Flexors,1,5,16,359.28,0.50808495
Push-ups,HIIT,"Lower Back, Glutes",Back,Posterior,1,5,22,361.68,0.5080849
Squats,HIIT,Full Core,Chest,Middle,1,4,15,309.86,0.50808424
Flutter Kicks,HIIT,Quadriceps,Shoulders,Lower,1,4,24,329.76,0.50808364
Bulgarian Split Squats,HIIT,"Glutes, Hamstrings",Back,Posterior,1,5,22,363.55,0.5080712
Tricep Extensions,HIIT,Triceps,Abs,Wrist Flexors,1,4,20,337.45,0.5080697
Rows,HIIT,Triceps,Arms,Grip Strength,1,5,22,347.77,0.5080692
Squats,HIIT,"Core, Lower Back",Back,Grip Strength,1,5,16,333.28,0.50806254
Decline Push-ups,HIIT,"Core, Obliques",Back,Middle,1,5,24,372.13,0.50805986
Lat Pulldowns,HIIT,"Lower Abs, Hip Flexors",Abs,Wrist Extensors,1,4,16,339.21,0.50805926
Seated Rows,HIIT,"Core, Lower Back",Abs,Triceps,1,4,15,355.0,0.5080588
Bicycle Crunches,HIIT,"Chest, Triceps, Shoulders",Abs,Posterior,1,5,24,341.04,0.508051
Flutter Kicks,HIIT,"Core, Lower Back",Abs,Wrist Flexors,1,4,21,349.77,0.5080485
Shoulder Press,HIIT,"Glutes, Hamstrings",Shoulders,Grip Strength,1,5,17,356.03,0.50804466
Flutter Kicks,HIIT,"Chest, Triceps, Shoulders",Arms,Middle,1,5,23,333.87,0.5080416
Rows,HIIT,Core,Abs,Wrist Flexors,1,4,24,370.92,0.5080409
Wall Angels,HIIT,"Glutes, Hamstrings",Back,Anterior,1,5,20,338.93,0.50803804
Reverse Lunges,HIIT,"Legs, Shoulders, Core",Forearms,Middle,1,4,19,359.83,0.50803345
Leg Raises,HIIT,"Core, Obliques",Chest,Triceps,1,5,16,345.33,0.50803185
Push-ups,HIIT,"Core, Obliques",Chest,Triceps,1,4,22,373.67,0.50803185
Plyometric Push-ups,HIIT,"Back, Biceps",Arms,Middle,1,4,17,334.27,0.5080303
Bench Press,HIIT,"Back, Biceps",Abs,Quads,1,5,25,340.9,0.5080251
Reverse Lunges,HIIT,"Quadriceps, Calves, Glutes",Back,Upper,1,5,19,345.36,0.50802296
Leg Raises,HIIT,Full Core,Chest,Lateral,1,4,22,334.59,0.50801754
Lat Pulldowns,HIIT,Triceps,Forearms,Wrist Flexors,1,4,24,341.72,0.5080166
Lunges,HIIT,"Lower Chest, Triceps",Chest,Lats,1,4,24,353.04,0.5080147
Push-ups,HIIT,"Quadriceps, Hamstrings, Glutes",Chest,Grip Strength,1,5,20,352.7,0.50801355
Deadlift,HIIT,"Core, Obliques",Abs,Quads,1,5,16,362.48,0.50801075
Thrusters,HIIT,"Shoulders, Triceps",Chest,Lower,1,5,15,361.38,0.50800544
Thrusters,HIIT,Triceps,Chest,Lower,1,5,21,345.59,0.50800544
Bird Dogs,HIIT,Full Core,Abs,Triceps,1,4,24,334.87,0.5080035
Bench Press,HIIT,Full Core,Chest,Posterior,1,5,17,356.17,0.5080028
Bicycle Crunches,HIIT,"Legs, Shoulders, Core",Shoulders,Middle,1,3,20,189.62,0.5079962
Wall Angels,HIIT,Core,Legs,Wrist Flexors,1,5,22,337.88,0.5079925
Lateral Raises,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Lower Chest,1,4,21,327.07,0.5079819
Dragon Flags,HIIT,Calves,Abs,Triceps,1,3,12,159.88,0.50797486
Lat Pulldowns,HIIT,"Legs, Shoulders, Core",Arms,Upper,1,4,19,355.39,0.5079731
Step-ups,HIIT,"Core, Lower Back",Abs,Lower,1,5,19,369.27,0.50797033
Face Pulls,HIIT,"Shoulders, Triceps",Arms,Posterior,1,4,25,362.96,0.50796527
Burpees,HIIT,"Full Body, Core, Shoulders",Chest,Middle,1,4,19,342.36,0.50795245
Bird Dogs,HIIT,Core,Shoulders,Lateral,1,5,20,345.23,0.507939
Bear Crawls,HIIT,"Legs, Shoulders, Core",Legs,Triceps,1,5,20,332.68,0.50793433
Dragon Flags,HIIT,Quadriceps,Legs,Posterior,1,5,21,355.65,0.5079296
Dragon Flags,HIIT,"Legs, Shoulders, Core",Shoulders,Lateral,1,5,16,346.28,0.5079295
Dragon Flags,HIIT,"Obliques, Core",Shoulders,Quads,1,4,16,355.64,0.5079252
Bicycle Crunches,HIIT,"Glutes, Hamstrings",Back,Lower,1,4,15,338.6,0.50791246
Resistance Band Pull-Aparts,HIIT,"Quadriceps, Hamstrings, Glutes",Chest,Lower,1,5,22,360.58,0.50791204
Tricep Dips,HIIT,"Chest, Triceps",Back,Wrist Flexors,1,4,15,353.52,0.50790846
Jumping Jacks,HIIT,Triceps,Back,Wrist Flexors,1,4,15,366.39,0.50790846
Wall Angels,HIIT,Quadriceps,Shoulders,Wrist Flexors,1,5,22,348.45,0.5079078
Leg Raises,HIIT,"Triceps, Chest",Back,Middle,1,4,18,357.47,0.50789964
Dips,HIIT,"Full Body, Core, Shoulders",Arms,Triceps,1,5,24,359.88,0.5078988
Renegade Rows,HIIT,"Lower Back, Glutes",Arms,Quads,1,4,24,347.77,0.50788087
Push-ups,HIIT,"Lower Back, Glutes",Arms,Quads,1,4,19,358.05,0.50788087
Dragon Flags,HIIT,Calves,Shoulders,Lower,1,4,22,351.83,0.5078803
Rows,HIIT,"Chest, Triceps, Shoulders",Back,Middle,1,4,15,330.89,0.5078802
Tricep Extensions,HIIT,"Legs, Core",Arms,Wrist Extensors,1,4,15,357.33,0.5078778
Burpees,HIIT,"Back, Hamstrings, Glutes",Chest,Lower,1,4,17,350.51,0.5078773
Russian Twists,HIIT,"Core, Obliques",Chest,Wrist Flexors,1,5,21,350.3,0.507876
Bird Dogs,HIIT,Full Core,Arms,Grip Strength,1,4,25,351.3,0.5078759
Bicycle Crunches,HIIT,"Chest, Triceps",Chest,Anterior,1,4,20,329.47,0.5078716
Seated Rows,HIIT,"Upper Chest, Triceps",Chest,Triceps,1,5,17,335.32,0.5078716
Dragon Flags,HIIT,Core,Chest,Anterior,1,5,25,365.71,0.5078716
Burpees,HIIT,"Quadriceps, Calves, Glutes",Chest,Upper,1,5,17,343.08,0.5078677
Bear Crawls,HIIT,"Shoulders, Upper Back",Legs,Upper,1,5,20,358.68,0.5078619
Leg Raises,HIIT,"Core, Obliques",Arms,Lateral,1,5,22,340.96,0.50786185
Plyo Squats,HIIT,"Upper Chest, Triceps",Arms,Lats,1,5,15,341.65,0.507858
Wall Angels,HIIT,Shoulders,Arms,Middle,1,5,25,367.43,0.507853
Inverted Rows,HIIT,"Lower Abs, Hip Flexors",Back,Quads,1,5,25,362.11,0.5078501
Flutter Kicks,HIIT,"Back, Biceps",Arms,Lateral,1,5,25,329.75,0.5078472
Zottman Curls,HIIT,Shoulders,Back,Posterior,1,5,16,340.63,0.5078463
Wall Angels,HIIT,"Chest, Triceps",Abs,Triceps,1,4,15,354.65,0.50783074
Dragon Flags,HIIT,Shoulders,Chest,Lower,1,4,25,351.04,0.5078307
Bicycle Crunches,HIIT,Shoulders,Chest,Lower,1,5,25,338.76,0.5078307
Bear Crawls,HIIT,Shoulders,Chest,Lower,1,3,12,240.29,0.5078307
Inverted Rows,HIIT,"Core, Lower Back",Abs,Lateral,1,5,15,365.16,0.5078274
Lunges,HIIT,Calves,Back,Middle,1,4,18,336.14,0.5078271
Tricep Extensions,HIIT,"Legs, Core",Chest,Wrist Extensors,1,5,21,357.52,0.50781643
Tricep Extensions,HIIT,"Legs, Core",Back,Lateral,1,4,19,343.2,0.5078132
Superman,HIIT,"Chest, Triceps, Shoulders",Forearms,Quads,1,5,17,355.91,0.50780934
Face Pulls,HIIT,"Full Body, Core, Shoulders",Back,Lateral,1,5,22,341.0,0.507808
Frog Jumps,HIIT,"Core, Obliques",Back,Posterior,1,5,19,353.93,0.50780386
Burpees,HIIT,"Core, Obliques",Back,Posterior,1,5,15,343.3,0.50780386
Squats,HIIT,"Core, Obliques",Back,Posterior,1,4,21,341.47,0.50780386
Incline Push-ups,HIIT,Full Core,Shoulders,Lats,1,5,16,378.37,0.5078005
Leg Press,HIIT,"Shoulders, Triceps",Back,Middle,1,5,19,350.34,0.5077965
Bird Dogs,HIIT,Core,Legs,Wrist Flexors,1,5,18,360.19,0.50778794
Lat Pulldowns,HIIT,Calves,Legs,Grip Strength,1,4,16,362.98,0.5077855
Decline Push-ups,HIIT,"Legs, Core",Abs,Lats,1,4,17,350.5,0.5077812
Plank,HIIT,Lower Abs,Forearms,Middle,1,5,15,338.72,0.5077795
Step-ups,HIIT,"Full Body, Core, Shoulders",Chest,Middle,1,5,16,379.09,0.5077794
Dragon Flags,HIIT,"Core, Lower Back",Back,Anterior,1,4,19,361.54,0.5077792
Thrusters,HIIT,"Shoulders, Upper Back",Arms,Upper,1,5,22,366.53,0.507775
Russian Twists,HIIT,"Obliques, Core",Legs,Posterior,1,4,15,341.59,0.5077714
Bicep Curls,HIIT,"Shoulders, Triceps",Forearms,Middle,1,5,23,361.37,0.50776964
Flutter Kicks,HIIT,"Legs, Shoulders, Core",Back,Grip Strength,1,4,22,352.93,0.507766
Shoulder Press,HIIT,Quadriceps,Legs,Lower Chest,1,4,21,339.52,0.50775456
Box Jumps,HIIT,"Chest, Triceps, Shoulders",Legs,Middle,1,4,23,339.97,0.50775385
Scissors Kicks,HIIT,"Legs, Core",Back,Posterior,1,4,23,345.31,0.50775373
Face Pulls,HIIT,"Triceps, Chest",Arms,Lower,1,4,16,342.06,0.5077472
Decline Push-ups,HIIT,"Core, Lower Back",Legs,Lower,1,4,25,381.05,0.50773764
Flutter Kicks,HIIT,"Full Body, Core, Shoulders",Back,Triceps,1,5,17,345.61,0.50773203
Leg Press,HIIT,Shoulders,Chest,Lower,1,4,16,334.06,0.50772756
Lunges,HIIT,Triceps,Back,Lower,1,5,16,330.93,0.5077221
Lat Pulldowns,HIIT,Shoulders,Back,Wrist Flexors,1,5,21,336.66,0.50771594
Frog Jumps,HIIT,"Triceps, Chest",Chest,Wrist Flexors,1,4,16,334.62,0.50771576
Rows,HIIT,"Shoulders, Upper Back",Legs,Upper,1,5,22,369.24,0.50771475
Frog Jumps,HIIT,"Core, Shoulders, Hips",Arms,Triceps,1,3,10,130.05,0.5077119
Wall Angels,HIIT,"Core, Obliques",Back,Triceps,1,4,22,342.65,0.50771135
Deadlift,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Quads,1,4,23,328.51,0.5077091
Tricep Dips,HIIT,"Back, Biceps",Chest,Middle,1,5,20,349.13,0.50770694
Superman,HIIT,"Obliques, Core",Forearms,Anterior,1,5,24,332.74,0.5077055
Squats,HIIT,"Chest, Triceps",Arms,Lateral,1,5,15,348.11,0.50770164
Push Ups,HIIT,"Lower Back, Glutes",Back,Lateral,1,5,25,330.81,0.50770146
Lunges,HIIT,"Quadriceps, Calves, Glutes",Forearms,Triceps,1,5,25,347.98,0.50769776
